time error errTLE
0 0 0
0.00694444 0.00742561 0.00162941
0.0138889 0.0147925 0.00325882
0.0208333 0.0219421 0.00488823
0.0277778 0.0287188 0.00651764
0.0347222 0.0349677 0.00814705
0.0416667 0.0405444 0.00977646
0.0486111 0.0453104 0.0114059
0.0555556 0.0491359 0.0130353
0.0625 0.0519024 0.0146647
0.0694444 0.053506 0.0162941
0.0763889 0.0538572 0.0179235
0.0833333 0.0528863 0.0195529
0.0902778 0.0505495 0.0211823
0.0972222 0.0468295 0.0228117
0.104167 0.0417682 0.0244412
0.111111 0.0355041 0.0260706
0.118056 0.0284109 0.0277
0.125 0.0215701 0.0293294
0.131944 0.0181055 0.0309588
0.138889 0.0222771 0.0325882
0.145833 0.0328148 0.0342176
0.152778 0.046641 0.035847
0.159722 0.0623804 0.0374764
0.166667 0.0794553 0.0391058
0.173611 0.0975268 0.0407353
0.180556 0.116333 0.0423647
0.1875 0.135635 0.0439941
0.194444 0.155202 0.0456235
0.201389 0.174796 0.0472529
0.208333 0.194176 0.0488823
0.215278 0.213095 0.0505117
0.222222 0.231303 0.0521411
0.229167 0.248548 0.0537705
0.236111 0.264578 0.0553999
0.243056 0.279144 0.0570294
0.25 0.292004 0.0586588
0.256944 0.302925 0.0602882
0.263889 0.311686 0.0619176
0.270833 0.318081 0.063547
0.277778 0.321924 0.0651764
0.284722 0.323047 0.0668058
0.291667 0.321307 0.0684352
0.298611 0.316588 0.0700646
0.305556 0.308802 0.071694
0.3125 0.297889 0.0733235
0.319444 0.283824 0.0749529
0.326389 0.266611 0.0765823
0.333333 0.246293 0.0782117
0.340278 0.222942 0.0798411
0.347222 0.196669 0.0814705
0.354167 0.167616 0.0830999
0.361111 0.135962 0.0847293
0.368056 0.101923 0.0863587
0.375 0.065763 0.0879881
0.381944 0.0279322 0.0896176
0.388889 0.0134784 0.091247
0.395833 0.0536516 0.0928764
0.402778 0.0955223 0.0945058
0.409722 0.138069 0.0961352
0.416667 0.180873 0.0977646
0.423611 0.223544 0.099394
0.430556 0.265694 0.101023
0.4375 0.306933 0.102653
0.444444 0.346872 0.104282
0.451389 0.385127 0.105912
0.458333 0.421323 0.107541
0.465278 0.455095 0.10917
0.472222 0.486094 0.1108
0.479167 0.513988 0.112429
0.486111 0.538467 0.114059
0.493056 0.559246 0.115688
0.5 0.576065 0.117318
0.506944 0.588694 0.118947
0.513889 0.596934 0.120576
0.520833 0.600622 0.122206
0.527778 0.599627 0.123999
0.534722 0.593856 0.125831
0.541667 0.583253 0.127663
0.548611 0.567804 0.129495
0.555556 0.547529 0.131327
0.5625 0.522495 0.133159
0.569444 0.492805 0.134992
0.576389 0.458607 0.136824
0.583333 0.420093 0.138656
0.590278 0.377502 0.140488
0.597222 0.331128 0.14232
0.604167 0.281339 0.144152
0.611111 0.228626 0.145984
0.618056 0.173746 0.147816
0.625 0.118315 0.149649
0.631944 0.0682758 0.151481
0.638889 0.0545023 0.153313
0.645833 0.0975084 0.155145
0.652778 0.156972 0.156977
0.659722 0.220177 0.158809
0.666667 0.284376 0.160641
0.673611 0.348414 0.162473
0.680556 0.411522 0.164305
0.6875 0.473065 0.166138
0.694444 0.532459 0.16797
0.701389 0.589153 0.169802
0.708333 0.642621 0.171634
0.715278 0.692356 0.173466
0.722222 0.737873 0.175298
0.729167 0.778715 0.17713
0.736111 0.814453 0.178962
0.743056 0.844691 0.180795
0.75 0.869068 0.182627
0.756944 0.887266 0.184459
0.763889 0.899008 0.186291
0.770833 0.904065 0.188123
0.777778 0.902262 0.189955
0.784722 0.893473 0.191787
0.791667 0.877631 0.193619
0.798611 0.854726 0.195451
