time error errTLE
0 0 0
0.000694444 0.00106007 0.000211895
0.00138889 0.00212055 0.00042379
0.00208333 0.00318148 0.000635685
0.00277778 0.00424289 0.00084758
0.00347222 0.0053048 0.00105947
0.00416667 0.00636725 0.00127137
0.00486111 0.00743026 0.00148326
0.00555556 0.00849456 0.00169516
0.00625 0.00955864 0.00190705
0.00694444 0.0106234 0.00211895
0.00763889 0.0116888 0.00233084
0.00833333 0.0127542 0.00254274
0.00902778 0.0138214 0.00275463
0.00972222 0.01489 0.00296653
0.0104167 0.0159578 0.00317842
0.0111111 0.0170275 0.00339032
0.0118056 0.0180987 0.00360221
0.0125 0.0191694 0.00381411
0.0131944 0.020242 0.004026
0.0138889 0.0213156 0.0042379
0.0145833 0.0223903 0.00444979
0.0152778 0.0234662 0.00466169
0.0159722 0.0245433 0.00487358
0.0166667 0.0256222 0.00508548
0.0173611 0.0267015 0.00529737
0.0180556 0.0277822 0.00550927
0.01875 0.0288643 0.00572116
0.0194444 0.029947 0.00593306
0.0201389 0.031032 0.00614495
0.0208333 0.0321193 0.00635685
0.0215278 0.0332065 0.00656874
0.0222222 0.0342962 0.00678064
0.0229167 0.0353883 0.00699253
0.0236111 0.0364805 0.00720443
0.0243056 0.0375754 0.00741632
0.025 0.0386721 0.00762822
0.0256944 0.0397707 0.00784011
0.0263889 0.0408712 0.00805201
0.0270833 0.0419738 0.0082639
0.0277778 0.043079 0.0084758
0.0284722 0.0441847 0.00868769
0.0291667 0.0452936 0.00889959
0.0298611 0.0464054 0.00911148
0.0305556 0.0475178 0.00932337
0.03125 0.0486336 0.00953527
0.0319444 0.0497524 0.00974716
0.0326389 0.0508721 0.00995906
0.0333333 0.0519953 0.010171
0.0340278 0.0531211 0.0103828
0.0347222 0.0542496 0.0105947
0.0354167 0.0553809 0.0108066
0.0361111 0.056515 0.0110185
0.0368056 0.0576526 0.0112304
0.0375 0.0587924 0.0114423
0.0381944 0.0599352 0.0116542
0.0388889 0.0610811 0.0118661
0.0395833 0.0622293 0.012078
0.0402778 0.0633818 0.0122899
0.0409722 0.0645383 0.0125018
0.0416667 0.0656964 0.0127137
0.0423611 0.0668591 0.0129256
0.0430556 0.068026 0.0131375
0.04375 0.0691948 0.0133494
0.0444444 0.0703684 0.0135613
0.0451389 0.0715457 0.0137732
0.0458333 0.0727269 0.0139851
0.0465278 0.073912 0.014197
0.0472222 0.0751012 0.0144089
0.0479167 0.0762952 0.0146207
0.0486111 0.0774924 0.0148326
0.0493056 0.0786939 0.0150445
0.05 0.0798997 0.0152564
0.0506944 0.081109 0.0154683
0.0513889 0.0823239 0.0156802
0.0520833 0.0835443 0.0158921
0.0527778 0.0847672 0.016104
0.0534722 0.0859961 0.0163159
0.0541667 0.0872307 0.0165278
0.0548611 0.0884681 0.0167397
0.0555556 0.0897118 0.0169516
0.05625 0.0909605 0.0171635
0.0569444 0.0922144 0.0173754
0.0576389 0.0934736 0.0175873
0.0583333 0.094738 0.0177992
0.0590278 0.0960088 0.0180111
0.0597222 0.0972828 0.018223
0.0604167 0.0985637 0.0184349
0.0611111 0.0998512 0.0186467
0.0618056 0.101142 0.0188586
0.0625 0.10244 0.0190705
0.0631944 0.103745 0.0192824
0.0638889 0.105054 0.0194943
0.0645833 0.10637 0.0197062
0.0652778 0.107692 0.0199181
0.0659722 0.10902 0.02013
0.0666667 0.110355 0.0203419
0.0673611 0.111696 0.0205538
0.0680556 0.113044 0.0207657
0.06875 0.114398 0.0209776
0.0694444 0.115758 0.0211895
0.0701389 0.117124 0.0214014
0.0708333 0.118497 0.0216133
0.0715278 0.119877 0.0218252
0.0722222 0.121266 0.0220371
0.0729167 0.122658 0.022249
0.0736111 0.12406 0.0224609
0.0743056 0.125469 0.0226728
0.075 0.126883 0.0228846
0.0756944 0.128305 0.0230965
0.0763889 0.129735 0.0233084
0.0770833 0.131172 0.0235203
0.0777778 0.132617 0.0237322
0.0784722 0.134068 0.0239441
0.0791667 0.135529 0.024156
0.0798611 0.136995 0.0243679
