time error errTLE
0 0 0
0.000694444 0.00105874 0.000211895
0.00138889 0.00211523 0.00042379
0.00208333 0.0031695 0.000635685
0.00277778 0.00422156 0.00084758
0.00347222 0.00527145 0.00105947
0.00416667 0.00631919 0.00127137
0.00486111 0.00736481 0.00148326
0.00555556 0.00840894 0.00169516
0.00625 0.00945023 0.00190705
0.00694444 0.0104895 0.00211895
0.00763889 0.0115268 0.00233084
0.00833333 0.0125613 0.00254274
0.00902778 0.0135949 0.00275463
0.00972222 0.0146271 0.00296653
0.0104167 0.015656 0.00317842
0.0111111 0.016684 0.00339032
0.0118056 0.0177107 0.00360221
0.0125 0.0187344 0.00381411
0.0131944 0.0197572 0.004026
0.0138889 0.0207784 0.0042379
0.0145833 0.0217979 0.00444979
0.0152778 0.022816 0.00466169
0.0159722 0.0238325 0.00487358
0.0166667 0.024848 0.00508548
0.0173611 0.0258616 0.00529737
0.0180556 0.0268738 0.00550927
0.01875 0.0278848 0.00572116
0.0194444 0.028894 0.00593306
0.0201389 0.0299027 0.00614495
0.0208333 0.0309107 0.00635685
0.0215278 0.0319167 0.00656874
0.0222222 0.0329224 0.00678064
0.0229167 0.0339274 0.00699253
0.0236111 0.0349308 0.00720443
0.0243056 0.0359339 0.00741632
0.025 0.0369363 0.00762822
0.0256944 0.0379381 0.00784011
0.0263889 0.0389393 0.00805201
0.0270833 0.0399401 0.0082639
0.0277778 0.0409408 0.0084758
0.0284722 0.0419404 0.00868769
0.0291667 0.0429402 0.00889959
0.0298611 0.0439402 0.00911148
0.0305556 0.0449394 0.00932337
0.03125 0.0459391 0.00953527
0.0319444 0.0469391 0.00974716
0.0326389 0.0479387 0.00995906
0.0333333 0.048939 0.010171
0.0340278 0.0499397 0.0103828
0.0347222 0.0509409 0.0105947
0.0354167 0.0519427 0.0108066
0.0361111 0.0529452 0.0110185
0.0368056 0.0539487 0.0112304
0.0375 0.0549529 0.0114423
0.0381944 0.0559581 0.0116542
0.0388889 0.0569644 0.0118661
0.0395833 0.0579717 0.012078
0.0402778 0.0589806 0.0122899
0.0409722 0.0599913 0.0125018
0.0416667 0.061003 0.0127137
0.0423611 0.0620168 0.0129256
0.0430556 0.0630326 0.0131375
0.04375 0.0640499 0.0133494
0.0444444 0.0650696 0.0135613
0.0451389 0.0660915 0.0137732
0.0458333 0.0671158 0.0139851
0.0465278 0.0681425 0.014197
0.0472222 0.069172 0.0144089
0.0479167 0.0702043 0.0146207
0.0486111 0.0712394 0.0148326
0.0493056 0.0722776 0.0150445
0.05 0.073319 0.0152564
0.0506944 0.0743636 0.0154683
0.0513889 0.0754119 0.0156802
0.0520833 0.0764642 0.0158921
0.0527778 0.0775198 0.016104
0.0534722 0.0785797 0.0163159
0.0541667 0.0796439 0.0165278
0.0548611 0.0807121 0.0167397
0.0555556 0.081785 0.0169516
0.05625 0.0828626 0.0171635
0.0569444 0.0839451 0.0173754
0.0576389 0.0850326 0.0175873
0.0583333 0.0861253 0.0177992
0.0590278 0.0872235 0.0180111
0.0597222 0.0883269 0.018223
0.0604167 0.0894364 0.0184349
0.0611111 0.090552 0.0186467
0.0618056 0.0916732 0.0188586
0.0625 0.092801 0.0190705
0.0631944 0.0939356 0.0192824
0.0638889 0.0950764 0.0194943
0.0645833 0.0962245 0.0197062
0.0652778 0.0973797 0.0199181
0.0659722 0.0985422 0.02013
0.0666667 0.0997122 0.0203419
0.0673611 0.10089 0.0205538
0.0680556 0.102076 0.0207657
0.06875 0.10327 0.0209776
0.0694444 0.104472 0.0211895
0.0701389 0.105683 0.0214014
0.0708333 0.106902 0.0216133
0.0715278 0.108131 0.0218252
0.0722222 0.109369 0.0220371
0.0729167 0.110616 0.022249
0.0736111 0.111873 0.0224609
0.0743056 0.11314 0.0226728
0.075 0.114417 0.0228846
0.0756944 0.115704 0.0230965
0.0763889 0.117002 0.0233084
0.0770833 0.118311 0.0235203
0.0777778 0.11963 0.0237322
0.0784722 0.120961 0.0239441
0.0791667 0.122304 0.024156
0.0798611 0.123658 0.0243679
0.0805556 0.125024 0.0245798
0.08125 0.126402 0.0247917
0.0819444 0.127792 0.0250036
0.0826389 0.129195 0.0252155
0.0833333 0.130611 0.0254274
