time error errTLE
0 0 0
0.000694444 0.000855389 0.000235372
0.00138889 0.00171154 0.000470745
0.00208333 0.00256906 0.000706117
0.00277778 0.00342793 0.00094149
0.00347222 0.00428811 0.00117686
0.00416667 0.00514956 0.00141223
0.00486111 0.00601224 0.00164761
0.00555556 0.00687676 0.00188298
0.00625 0.00774179 0.00211835
0.00694444 0.00860793 0.00235372
0.00763889 0.0094758 0.0025891
0.00833333 0.010344 0.00282447
0.00902778 0.0112133 0.00305984
0.00972222 0.0120842 0.00329521
0.0104167 0.0129553 0.00353059
0.0111111 0.0138273 0.00376596
0.0118056 0.0147008 0.00400133
0.0125 0.0155744 0.0042367
0.0131944 0.0164488 0.00447208
0.0138889 0.0173239 0.00470745
0.0145833 0.0181997 0.00494282
0.0152778 0.0190762 0.00517819
0.0159722 0.0199532 0.00541356
0.0166667 0.0208314 0.00564894
0.0173611 0.0217095 0.00588431
0.0180556 0.022588 0.00611968
0.01875 0.0234677 0.00635505
0.0194444 0.0243471 0.00659043
0.0201389 0.0252268 0.0068258
0.0208333 0.0261075 0.00706117
0.0215278 0.0269877 0.00729654
0.0222222 0.0278683 0.00753192
0.0229167 0.0287489 0.00776729
0.0236111 0.0296298 0.00800266
0.0243056 0.0305107 0.00823803
0.025 0.0313916 0.00847341
0.0256944 0.0322726 0.00870878
0.0263889 0.0331535 0.00894415
0.0270833 0.0340344 0.00917952
0.0277778 0.0349158 0.0094149
0.0284722 0.0357964 0.00965027
0.0291667 0.0366768 0.00988564
0.0298611 0.0375575 0.010121
0.0305556 0.0384374 0.0103564
0.03125 0.0393169 0.0105918
0.0319444 0.0401967 0.0108271
0.0326389 0.0410754 0.0110625
0.0333333 0.0419537 0.0112979
0.0340278 0.0428315 0.0115332
0.0347222 0.0437087 0.0117686
0.0354167 0.0445853 0.012004
0.0361111 0.0454613 0.0122394
0.0368056 0.0463373 0.0124747
0.0375 0.0472119 0.0127101
0.0381944 0.0480858 0.0129455
0.0388889 0.0489595 0.0131809
0.0395833 0.0498318 0.0134162
0.0402778 0.0507031 0.0136516
0.0409722 0.0515742 0.013887
0.0416667 0.0524437 0.0141223
0.0423611 0.0533121 0.0143577
0.0430556 0.0541802 0.0145931
0.04375 0.0550465 0.0148285
0.0444444 0.0559117 0.0150638
0.0451389 0.0567758 0.0152992
0.0458333 0.0576386 0.0155346
0.0465278 0.0585001 0.0157699
0.0472222 0.0593604 0.0160053
0.0479167 0.06022 0.0162407
0.0486111 0.0610775 0.0164761
0.0493056 0.0619337 0.0167114
0.05 0.062789 0.0169468
0.0506944 0.0636422 0.0171822
0.0513889 0.0644939 0.0174176
0.0520833 0.0653446 0.0176529
0.0527778 0.0661931 0.0178883
0.0534722 0.0670399 0.0181237
0.0541667 0.067885 0.018359
0.0548611 0.0687284 0.0185944
0.0555556 0.0695701 0.0188298
0.05625 0.0704099 0.0190652
0.0569444 0.0712479 0.0193005
0.0576389 0.072084 0.0195359
0.0583333 0.0729182 0.0197713
0.0590278 0.073751 0.0200067
0.0597222 0.0745813 0.020242
0.0604167 0.0754095 0.0204774
0.0611111 0.0762363 0.0207128
0.0618056 0.0770603 0.0209481
0.0625 0.0778822 0.0211835
0.0631944 0.0787026 0.0214189
0.0638889 0.0795201 0.0216543
0.0645833 0.0803354 0.0218896
0.0652778 0.0811484 0.022125
0.0659722 0.0819591 0.0223604
0.0666667 0.0827674 0.0225957
0.0673611 0.0835734 0.0228311
0.0680556 0.0843776 0.0230665
0.06875 0.0851787 0.0233019
0.0694444 0.0859773 0.0235372
0.0701389 0.0867741 0.0237726
