time error errTLE
0 0 0
0.000694444 0.00074066 0.000162941
0.00138889 0.00148217 0.000325882
0.00208333 0.00222439 0.000488823
0.00277778 0.00296713 0.000651764
0.00347222 0.00371025 0.000814705
0.00416667 0.00445359 0.000977646
0.00486111 0.00519698 0.00114059
0.00555556 0.0059408 0.00130353
0.00625 0.00668301 0.00146647
0.00694444 0.00742561 0.00162941
0.00763889 0.00816816 0.00179235
0.00833333 0.00890861 0.00195529
0.00902778 0.00964898 0.00211823
0.00972222 0.0103888 0.00228117
0.0104167 0.0111261 0.00244412
0.0111111 0.0118628 0.00260706
0.0118056 0.0125979 0.00277
0.0125 0.0133314 0.00293294
0.0131944 0.014063 0.00309588
0.0138889 0.0147925 0.00325882
0.0145833 0.0155199 0.00342176
0.0152778 0.016245 0.0035847
0.0159722 0.0169676 0.00374764
0.0166667 0.017688 0.00391058
0.0173611 0.0184043 0.00407353
0.0180556 0.0191185 0.00423647
0.01875 0.0198301 0.00439941
0.0194444 0.020537 0.00456235
0.0201389 0.0212413 0.00472529
0.0208333 0.0219421 0.00488823
0.0215278 0.0226391 0.00505117
0.0222222 0.0233322 0.00521411
0.0229167 0.0240212 0.00537705
0.0236111 0.024706 0.00553999
0.0243056 0.0253865 0.00570294
0.025 0.0260625 0.00586588
0.0256944 0.0267338 0.00602882
0.0263889 0.0274003 0.00619176
0.0270833 0.0280618 0.0063547
0.0277778 0.0287188 0.00651764
0.0284722 0.0293691 0.00668058
0.0291667 0.0300149 0.00684352
0.0298611 0.0306556 0.00700646
0.0305556 0.0312892 0.0071694
0.03125 0.0319178 0.00733235
0.0319444 0.0325404 0.00749529
0.0326389 0.0331568 0.00765823
0.0333333 0.0337669 0.00782117
0.0340278 0.0343706 0.00798411
0.0347222 0.0349677 0.00814705
0.0354167 0.0355581 0.00830999
0.0361111 0.0361416 0.00847293
0.0368056 0.0367187 0.00863587
0.0375 0.0372871 0.00879881
0.0381944 0.0378491 0.00896176
0.0388889 0.0384043 0.0091247
0.0395833 0.0389504 0.00928764
0.0402778 0.0394898 0.00945058
0.0409722 0.0400218 0.00961352
0.0416667 0.0405444 0.00977646
0.0423611 0.0410597 0.0099394
0.0430556 0.0415668 0.0101023
0.04375 0.0420655 0.0102653
0.0444444 0.0425557 0.0104282
0.0451389 0.0430373 0.0105912
0.0458333 0.04351 0.0107541
0.0465278 0.0439739 0.010917
0.0472222 0.0444287 0.01108
0.0479167 0.0448749 0.0112429
0.0486111 0.0453104 0.0114059
0.0493056 0.0457373 0.0115688
0.05 0.0461553 0.0117318
0.0506944 0.0465622 0.0118947
0.0513889 0.0469601 0.0120576
0.0520833 0.0473482 0.0122206
0.0527778 0.0477262 0.0123835
0.0534722 0.0480941 0.0125465
0.0541667 0.0484518 0.0127094
0.0548611 0.0487991 0.0128723
0.0555556 0.0491359 0.0130353
0.05625 0.049462 0.0131982
0.0569444 0.0497775 0.0133612
0.0576389 0.0500822 0.0135241
0.0583333 0.050376 0.013687
0.0590278 0.0506593 0.01385
0.0597222 0.0509299 0.0140129
0.0604167 0.0511902 0.0141759
0.0611111 0.0514399 0.0143388
0.0618056 0.0516764 0.0145017
0.0625 0.0519024 0.0146647
0.0631944 0.0521168 0.0148276
0.0638889 0.0523194 0.0149906
0.0645833 0.0525101 0.0151535
0.0652778 0.052689 0.0153165
0.0659722 0.0528558 0.0154794
0.0666667 0.0530105 0.0156423
0.0673611 0.053153 0.0158053
0.0680556 0.0532839 0.0159682
0.06875 0.0534007 0.0161312
0.0694444 0.053506 0.0162941
0.0701389 0.0535996 0.016457
0.0708333 0.0536788 0.01662
0.0715278 0.0537463 0.0167829
0.0722222 0.0538018 0.0169459
0.0729167 0.0538426 0.0171088
0.0736111 0.0538716 0.0172717
0.0743056 0.0538876 0.0174347
0.075 0.0538906 0.0175976
0.0756944 0.0538805 0.0177606
0.0763889 0.0538572 0.0179235
0.0770833 0.0538206 0.0180865
0.0777778 0.0537708 0.0182494
0.0784722 0.0537075 0.0184123
0.0791667 0.0536317 0.0185753
0.0798611 0.0535405 0.0187382
0.0805556 0.0534369 0.0189012
0.08125 0.0533206 0.0190641
0.0819444 0.0531887 0.019227
0.0826389 0.0530443 0.01939
0.0833333 0.0528863 0.0195529
0.0840278 0.0527146 0.0197159
0.0847222 0.0525291 0.0198788
0.0854167 0.0523299 0.0200417
0.0861111 0.0521169 0.0202047
0.0868056 0.0518901 0.0203676
0.0875 0.0516495 0.0205306
0.0881944 0.051395 0.0206935
0.0888889 0.0511267 0.0208564
0.0895833 0.0508446 0.0210194
0.0902778 0.0505495 0.0211823
0.0909722 0.0502383 0.0213453
0.0916667 0.0499146 0.0215082
0.0923611 0.049578 0.0216712
0.0930556 0.0492253 0.0218341
0.09375 0.0488602 0.021997
0.0944444 0.0484814 0.02216
0.0951389 0.0480889 0.0223229
0.0958333 0.0476827 0.0224859
0.0965278 0.0472628 0.0226488
0.0972222 0.0468295 0.0228117
0.0979167 0.0463826 0.0229747
0.0986111 0.0459224 0.0231376
0.0993056 0.0454498 0.0233006
0.1 0.0449614 0.0234635
0.100694 0.0444614 0.0236264
0.101389 0.0439496 0.0237894
0.102083 0.0434221 0.0239523
0.102778 0.0428835 0.0241153
0.103472 0.0423335 0.0242782
0.104167 0.0417682 0.0244412
0.104861 0.0411924 0.0246041
0.105556 0.0406047 0.024767
0.10625 0.0400052 0.02493
0.106944 0.0393942 0.0250929
0.107639 0.0387719 0.0252559
0.108333 0.0381388 0.0254188
0.109028 0.0374952 0.0255817
0.109722 0.0368413 0.0257447
0.110417 0.0361791 0.0259076
0.111111 0.0355041 0.0260706
0.111806 0.0348225 0.0262335
0.1125 0.0341341 0.0263964
0.113194 0.0334344 0.0265594
0.113889 0.0327301 0.0267223
0.114583 0.0320197 0.0268853
0.115278 0.0313041 0.0270482
0.115972 0.0305843 0.0272111
0.116667 0.0298613 0.0273741
0.117361 0.0291364 0.027537
0.118056 0.0284109 0.0277
0.11875 0.0276863 0.0278629
0.119444 0.0269644 0.0280259
0.120139 0.0262471 0.0281888
0.120833 0.0255365 0.0283517
0.121528 0.0248371 0.0285147
0.122222 0.0241444 0.0286776
0.122917 0.0234698 0.0288406
0.123611 0.0228157 0.0290035
0.124306 0.022178 0.0291664
0.125 0.0215701 0.0293294
0.125694 0.0209931 0.0294923
0.126389 0.0204521 0.0296553
0.127083 0.0199524 0.0298182
0.127778 0.0194999 0.0299811
0.128472 0.0191004 0.0301441
0.129167 0.0187602 0.030307
0.129861 0.0184853 0.03047
0.130556 0.0182843 0.0306329
0.13125 0.0181523 0.0307959
0.131944 0.0181055 0.0309588
0.132639 0.0181458 0.0311217
0.133333 0.0182655 0.0312847
0.134028 0.0184774 0.0314476
0.134722 0.0187797 0.0316106
0.135417 0.0191613 0.0317735
0.136111 0.0196311 0.0319364
0.136806 0.0201816 0.0320994
0.1375 0.0208089 0.0322623
0.138194 0.0215089 0.0324253
0.138889 0.0222771 0.0325882
0.139583 0.023109 0.0327511
0.140278 0.0240002 0.0329141
0.140972 0.0249466 0.033077
0.141667 0.0259461 0.03324
0.142361 0.026988 0.0334029
0.143056 0.028077 0.0335658
0.14375 0.0292088 0.0337288
0.144444 0.0303742 0.0338917
0.145139 0.0315779 0.0340547
0.145833 0.0328148 0.0342176
0.146528 0.0340829 0.0343806
0.147222 0.0353803 0.0345435
0.147917 0.0367053 0.0347064
0.148611 0.0380562 0.0348694
0.149306 0.0394319 0.0350323
0.15 0.040831 0.0351953
0.150694 0.0422523 0.0353582
0.151389 0.0436948 0.0355211
0.152083 0.0451577 0.0356841
0.152778 0.046641 0.035847
0.153472 0.0481402 0.03601
0.154167 0.049659 0.0361729
0.154861 0.051196 0.0363358
0.155556 0.052747 0.0364988
0.15625 0.0543156 0.0366617
0.156944 0.0558996 0.0368247
0.157639 0.0574985 0.0369876
0.158333 0.059112 0.0371506
0.159028 0.0607394 0.0373135
0.159722 0.0623804 0.0374764
0.160417 0.0640346 0.0376394
0.161111 0.0657016 0.0378023
0.161806 0.0673818 0.0379653
0.1625 0.069072 0.0381282
0.163194 0.0707752 0.0382911
0.163889 0.0724906 0.0384541
0.164583 0.0742152 0.038617
0.165278 0.0759516 0.03878
0.165972 0.0776992 0.0389429
0.166667 0.0794553 0.0391058
0.167361 0.0812223 0.0392688
0.168056 0.082999 0.0394317
0.16875 0.084785 0.0395947
0.169444 0.0865801 0.0397576
0.170139 0.088384 0.0399205
0.170833 0.0901965 0.0400835
0.171528 0.0920173 0.0402464
0.172222 0.0938461 0.0404094
0.172917 0.0956834 0.0405723
0.173611 0.0975268 0.0407353
0.174306 0.0993784 0.0408982
0.175 0.101238 0.0410611
0.175694 0.103102 0.0412241
0.176389 0.104974 0.041387
0.177083 0.106853 0.04155
0.177778 0.108738 0.0417129
0.178472 0.110628 0.0418758
0.179167 0.112524 0.0420388
0.179861 0.114426 0.0422017
0.180556 0.116333 0.0423647
0.18125 0.118245 0.0425276
0.181944 0.120161 0.0426905
0.182639 0.122082 0.0428535
0.183333 0.124007 0.0430164
0.184028 0.125937 0.0431794
0.184722 0.12787 0.0433423
0.185417 0.129806 0.0435052
0.186111 0.131747 0.0436682
0.186806 0.133689 0.0438311
0.1875 0.135635 0.0439941
0.188194 0.137584 0.044157
0.188889 0.139535 0.04432
0.189583 0.141489 0.0444829
0.190278 0.143444 0.0446458
0.190972 0.145401 0.0448088
0.191667 0.147359 0.0449717
0.192361 0.149319 0.0451347
0.193056 0.151279 0.0452976
0.19375 0.15324 0.0454605
0.194444 0.155202 0.0456235
0.195139 0.157165 0.0457864
0.195833 0.159126 0.0459494
0.196528 0.161088 0.0461123
0.197222 0.16305 0.0462752
0.197917 0.16501 0.0464382
0.198611 0.16697 0.0466011
0.199306 0.168929 0.0467641
0.2 0.170886 0.046927
0.200694 0.172842 0.04709
0.201389 0.174796 0.0472529
0.202083 0.176748 0.0474158
0.202778 0.178697 0.0475788
0.203472 0.180644 0.0477417
0.204167 0.182588 0.0479047
0.204861 0.184528 0.0480676
0.205556 0.186465 0.0482305
0.20625 0.188399 0.0483935
0.206944 0.190329 0.0485564
0.207639 0.192254 0.0487194
0.208333 0.194176 0.0488823
0.209028 0.196093 0.0490452
0.209722 0.198005 0.0492082
0.210417 0.199911 0.0493711
0.211111 0.201813 0.0495341
0.211806 0.203709 0.049697
0.2125 0.205599 0.0498599
0.213194 0.207483 0.0500229
0.213889 0.20936 0.0501858
0.214583 0.211231 0.0503488
0.215278 0.213095 0.0505117
0.215972 0.214952 0.0506747
0.216667 0.216802 0.0508376
0.217361 0.218644 0.0510005
0.218056 0.220478 0.0511635
0.21875 0.222304 0.0513264
0.219444 0.224121 0.0514894
0.220139 0.225931 0.0516523
0.220833 0.227731 0.0518152
0.221528 0.229522 0.0519782
0.222222 0.231303 0.0521411
0.222917 0.233075 0.0523041
0.223611 0.234837 0.052467
0.224306 0.23659 0.0526299
0.225 0.238331 0.0527929
0.225694 0.240062 0.0529558
0.226389 0.241782 0.0531188
0.227083 0.243491 0.0532817
0.227778 0.245188 0.0534447
0.228472 0.246874 0.0536076
0.229167 0.248548 0.0537705
0.229861 0.25021 0.0539335
0.230556 0.251859 0.0540964
0.23125 0.253496 0.0542594
0.231944 0.25512 0.0544223
0.232639 0.25673 0.0545852
0.233333 0.258328 0.0547482
0.234028 0.259911 0.0549111
0.234722 0.261481 0.0550741
0.235417 0.263037 0.055237
0.236111 0.264578 0.0553999
0.236806 0.266104 0.0555629
0.2375 0.267616 0.0557258
0.238194 0.269112 0.0558888
0.238889 0.270593 0.0560517
0.239583 0.272059 0.0562146
0.240278 0.273509 0.0563776
0.240972 0.274942 0.0565405
0.241667 0.276359 0.0567035
0.242361 0.27776 0.0568664
0.243056 0.279144 0.0570294
0.24375 0.28051 0.0571923
0.244444 0.28186 0.0573552
0.245139 0.283192 0.0575182
0.245833 0.284506 0.0576811
0.246528 0.285802 0.0578441
0.247222 0.28708 0.058007
0.247917 0.288339 0.0581699
0.248611 0.28958 0.0583329
0.249306 0.290801 0.0584958
0.25 0.292004 0.0586588
0.250694 0.293187 0.0588217
0.251389 0.29435 0.0589846
0.252083 0.295494 0.0591476
0.252778 0.296618 0.0593105
0.253472 0.297721 0.0594735
0.254167 0.298804 0.0596364
0.254861 0.299866 0.0597994
0.255556 0.300907 0.0599623
0.25625 0.301926 0.0601252
0.256944 0.302925 0.0602882
0.257639 0.303902 0.0604511
0.258333 0.304857 0.0606141
0.259028 0.30579 0.060777
0.259722 0.3067 0.0609399
0.260417 0.307589 0.0611029
0.261111 0.308454 0.0612658
0.261806 0.309297 0.0614288
0.2625 0.310117 0.0615917
0.263194 0.310913 0.0617546
0.263889 0.311686 0.0619176
0.264583 0.312435 0.0620805
0.265278 0.313161 0.0622435
0.265972 0.313862 0.0624064
0.266667 0.314539 0.0625693
0.267361 0.315191 0.0627323
0.268056 0.315819 0.0628952
0.26875 0.316423 0.0630582
0.269444 0.317001 0.0632211
0.270139 0.317554 0.0633841
0.270833 0.318081 0.063547
0.271528 0.318583 0.0637099
0.272222 0.31906 0.0638729
0.272917 0.31951 0.0640358
0.273611 0.319934 0.0641988
0.274306 0.320333 0.0643617
0.275 0.320704 0.0645246
0.275694 0.321049 0.0646876
0.276389 0.321368 0.0648505
0.277083 0.321659 0.0650135
0.277778 0.321924 0.0651764
0.278472 0.322161 0.0653393
0.279167 0.322371 0.0655023
0.279861 0.322553 0.0656652
0.280556 0.322708 0.0658282
0.28125 0.322835 0.0659911
0.281944 0.322933 0.0661541
0.282639 0.323004 0.066317
0.283333 0.323047 0.0664799
0.284028 0.323061 0.0666429
0.284722 0.323047 0.0668058
0.285417 0.323004 0.0669688
0.286111 0.322932 0.0671317
0.286806 0.322831 0.0672946
0.2875 0.322701 0.0674576
0.288194 0.322542 0.0676205
0.288889 0.322354 0.0677835
0.289583 0.322137 0.0679464
0.290278 0.32189 0.0681093
0.290972 0.321613 0.0682723
0.291667 0.321307 0.0684352
0.292361 0.320971 0.0685982
0.293056 0.320605 0.0687611
0.29375 0.320209 0.068924
0.294444 0.319783 0.069087
0.295139 0.319326 0.0692499
0.295833 0.318839 0.0694129
0.296528 0.318322 0.0695758
0.297222 0.317775 0.0697388
0.297917 0.317197 0.0699017
0.298611 0.316588 0.0700646
0.299306 0.315949 0.0702276
0.3 0.315279 0.0703905
0.300694 0.314578 0.0705535
0.301389 0.313846 0.0707164
0.302083 0.313083 0.0708793
0.302778 0.312289 0.0710423
0.303472 0.311464 0.0712052
0.304167 0.310608 0.0713682
0.304861 0.30972 0.0715311
0.305556 0.308802 0.071694
0.30625 0.307852 0.071857
0.306944 0.306871 0.0720199
0.307639 0.305858 0.0721829
0.308333 0.304814 0.0723458
0.309028 0.303739 0.0725087
0.309722 0.302632 0.0726717
0.310417 0.301493 0.0728346
0.311111 0.300323 0.0729976
0.311806 0.299122 0.0731605
0.3125 0.297889 0.0733235
0.313194 0.296624 0.0734864
0.313889 0.295328 0.0736493
0.314583 0.294001 0.0738123
0.315278 0.292642 0.0739752
0.315972 0.291251 0.0741382
0.316667 0.289828 0.0743011
0.317361 0.288374 0.074464
0.318056 0.286889 0.074627
0.31875 0.285372 0.0747899
0.319444 0.283824 0.0749529
0.320139 0.282244 0.0751158
0.320833 0.280632 0.0752787
0.321528 0.278989 0.0754417
0.322222 0.277315 0.0756046
0.322917 0.275609 0.0757676
0.323611 0.273872 0.0759305
0.324306 0.272104 0.0760935
0.325 0.270304 0.0762564
0.325694 0.268473 0.0764193
0.326389 0.266611 0.0765823
0.327083 0.264718 0.0767452
0.327778 0.262794 0.0769082
0.328472 0.260839 0.0770711
0.329167 0.258853 0.077234
0.329861 0.256837 0.077397
0.330556 0.254789 0.0775599
0.33125 0.252711 0.0777229
0.331944 0.250602 0.0778858
0.332639 0.248463 0.0780487
0.333333 0.246293 0.0782117
0.334028 0.244093 0.0783746
0.334722 0.241862 0.0785376
0.335417 0.239602 0.0787005
0.336111 0.237311 0.0788634
0.336806 0.234991 0.0790264
0.3375 0.23264 0.0791893
0.338194 0.23026 0.0793523
0.338889 0.22785 0.0795152
0.339583 0.225411 0.0796782
0.340278 0.222942 0.0798411
0.340972 0.220444 0.080004
0.341667 0.217917 0.080167
0.342361 0.215361 0.0803299
0.343056 0.212776 0.0804929
0.34375 0.210163 0.0806558
0.344444 0.207521 0.0808187
0.345139 0.20485 0.0809817
0.345833 0.202151 0.0811446
0.346528 0.199424 0.0813076
0.347222 0.196669 0.0814705
0.347917 0.193886 0.0816334
0.348611 0.191075 0.0817964
0.349306 0.188237 0.0819593
0.35 0.185372 0.0821223
0.350694 0.182479 0.0822852
0.351389 0.17956 0.0824482
0.352083 0.176614 0.0826111
0.352778 0.173641 0.082774
0.353472 0.170642 0.082937
0.354167 0.167616 0.0830999
0.354861 0.164564 0.0832629
0.355556 0.161487 0.0834258
0.35625 0.158384 0.0835887
0.356944 0.155255 0.0837517
0.357639 0.152102 0.0839146
0.358333 0.148923 0.0840776
0.359028 0.145719 0.0842405
0.359722 0.142491 0.0844034
0.360417 0.139239 0.0845664
0.361111 0.135962 0.0847293
0.361806 0.132662 0.0848923
0.3625 0.129338 0.0850552
0.363194 0.12599 0.0852181
0.363889 0.122619 0.0853811
0.364583 0.119226 0.085544
0.365278 0.115809 0.085707
0.365972 0.112371 0.0858699
0.366667 0.10891 0.0860329
0.367361 0.105427 0.0861958
0.368056 0.101923 0.0863587
0.36875 0.0983974 0.0865217
0.369444 0.0948508 0.0866846
0.370139 0.0912836 0.0868476
0.370833 0.087696 0.0870105
0.371528 0.0840884 0.0871734
0.372222 0.0804611 0.0873364
0.372917 0.0768145 0.0874993
0.373611 0.0731491 0.0876623
0.374306 0.069465 0.0878252
0.375 0.065763 0.0879881
0.375694 0.0620435 0.0881511
0.376389 0.0583071 0.088314
0.377083 0.0545544 0.088477
0.377778 0.0507862 0.0886399
0.378472 0.0470036 0.0888029
0.379167 0.0432076 0.0889658
0.379861 0.0393998 0.0891287
0.380556 0.0355825 0.0892917
0.38125 0.0317584 0.0894546
0.381944 0.0279322 0.0896176
0.382639 0.0241113 0.0897805
0.383333 0.0203076 0.0899434
0.384028 0.0165453 0.0901064
0.384722 0.0128751 0.0902693
0.385417 0.00942366 0.0904323
0.386111 0.00657573 0.0905952
0.386806 0.00542309 0.0907581
0.3875 0.0069031 0.0909211
0.388194 0.00991455 0.091084
0.388889 0.0134784 0.091247
0.389583 0.0172646 0.0914099
0.390278 0.0211613 0.0915728
0.390972 0.0251229 0.0917358
0.391667 0.0291279 0.0918987
0.392361 0.0331642 0.0920617
0.393056 0.0372256 0.0922246
0.39375 0.0413076 0.0923876
0.394444 0.0454071 0.0925505
0.395139 0.0495223 0.0927134
0.395833 0.0536516 0.0928764
0.396528 0.0577936 0.0930393
0.397222 0.0619476 0.0932023
0.397917 0.0661125 0.0933652
0.398611 0.0702877 0.0935281
0.399306 0.0744725 0.0936911
0.4 0.0786664 0.093854
0.400694 0.0828688 0.094017
0.401389 0.0870792 0.0941799
0.402083 0.0912972 0.0943428
0.402778 0.0955223 0.0945058
0.403472 0.0997539 0.0946687
0.404167 0.103992 0.0948317
0.404861 0.108235 0.0949946
0.405556 0.112484 0.0951575
0.40625 0.116738 0.0953205
0.406944 0.120997 0.0954834
0.407639 0.12526 0.0956464
0.408333 0.129526 0.0958093
0.409028 0.133796 0.0959723
0.409722 0.138069 0.0961352
0.410417 0.142344 0.0962981
0.411111 0.146621 0.0964611
0.411806 0.150901 0.096624
0.4125 0.155181 0.096787
0.413194 0.159463 0.0969499
0.413889 0.163745 0.0971128
0.414583 0.168028 0.0972758
