time error errTLE
0 0 0
0.000694444 0.000850054 0.000235372
0.00138889 0.00169015 0.000470745
0.00208333 0.00252084 0.000706117
0.00277778 0.00334203 0.00094149
0.00347222 0.00415361 0.00117686
0.00416667 0.00495549 0.00141223
0.00486111 0.00574757 0.00164761
0.00555556 0.00653041 0.00188298
0.00625 0.00730262 0.00211835
0.00694444 0.00806476 0.00235372
0.00763889 0.0088174 0.0025891
0.00833333 0.00955916 0.00282447
0.00902778 0.0102906 0.00305984
0.00972222 0.0110123 0.00329521
0.0104167 0.011723 0.00353059
0.0111111 0.0124231 0.00376596
0.0118056 0.0131133 0.00400133
0.0125 0.0137922 0.0042367
0.0131944 0.0144604 0.00447208
0.0138889 0.015118 0.00470745
0.0145833 0.0157647 0.00494282
0.0152778 0.0164006 0.00517819
0.0159722 0.0170257 0.00541356
0.0166667 0.0176405 0.00564894
0.0173611 0.0182438 0.00588431
0.0180556 0.0188361 0.00611968
0.01875 0.0194182 0.00635505
0.0194444 0.0199886 0.00659043
0.0201389 0.0205481 0.0068258
0.0208333 0.0210973 0.00706117
0.0215278 0.0216349 0.00729654
0.0222222 0.0221617 0.00753192
0.0229167 0.0226775 0.00776729
0.0236111 0.0231824 0.00800266
0.0243056 0.0236765 0.00823803
0.025 0.0241597 0.00847341
0.0256944 0.0246323 0.00870878
0.0263889 0.0250941 0.00894415
0.0270833 0.0255453 0.00917952
0.0277778 0.0259865 0.0094149
0.0284722 0.0264167 0.00965027
0.0291667 0.0268365 0.00988564
0.0298611 0.0272465 0.010121
0.0305556 0.0276458 0.0103564
0.03125 0.028035 0.0105918
0.0319444 0.0284149 0.0108271
0.0326389 0.0287844 0.0110625
0.0333333 0.0291442 0.0112979
0.0340278 0.0294946 0.0115332
0.0347222 0.0298356 0.0117686
0.0354167 0.0301675 0.012004
0.0361111 0.0304905 0.0122394
0.0368056 0.0308052 0.0124747
0.0375 0.0311109 0.0127101
0.0381944 0.0314083 0.0129455
0.0388889 0.0316982 0.0131809
0.0395833 0.0319798 0.0134162
0.0402778 0.0322539 0.0136516
0.0409722 0.0325213 0.013887
